Course,Section,Instructor,Days,Time,Room
IT 115,1,"Walter, Lisa",MW,11:00 - 12:50,OU 213D
IT 140,1,"Matsuda, Pat",MW,11:00 - 11:50,CVA 151
IT 140,2 Lab,,,,ONLINE
IT 150,1,"Higgins, Cheri",MW,10:00 - 10:50,CVA 151
IT 150,2 Lab,,MW,11:00 - 11:50,OU 132
IT 150,3 Lab,,MW,12:00 - 12:50,OU 132
IT 150,4 Lab,,MW,1:00 - 1:50,OU 132
IT 150,5 Lab,,MW,2:00 - 2:50,OU 132
IT 150,6 Lab,,MW,3:00 - 3:50,OU 132
IT 150,7 Lab,,MW,4:00 - 4:50,OU 132
IT 150,8 Lab,,MW,5:00 - 5:50,OU 132
IT 150,9 Lab,,TR,9:00 - 9:50,OU 132
IT 150,10 Lab,,TR,10:00 - 10:50,OU 132
IT 150,11,"Higgins, Cheri",TR,10:00 - 10:50,STV 101
IT 150,12 Lab,,TR,11:00 - 11:50,OU 132
IT 150,13 Lab,,TR,12:00 - 12:50,OU 132
IT 150,14 Lab,,TR,1:00 - 1:50,OU 132
IT 150,15 Lab,,TR,2:00 - 2:50,OU 132
IT 150,16 Lab,,TR,3:00 - 3:50,OU 132
IT 150,17 Lab,,TR,4:00 - 4:50,OU 132
IT 150,18 Lab,,TR,5:00 - 5:50,OU 132
IT 150,19 Lab,,WF,9:00 - 9:50,OU 132
IT 150,20 Lab,,WF,10:00 - 10:50,OU 132
IT 164,1,"Twitchell, Doug",MW,12:35 - 1:50,OU 213E
IT 165,1,"Higgins, Cheri",MW,11:00 - 12:15,OU 213E
IT 165,2 Lab,,T,9:00 - 10:50,OU 133
IT 165,3 Lab,,T,11:00 - 12:50,OU 133
IT 168,1,"Suh, Kyoungwon",MW,2:00 - 3:15,STV 105
IT 168,2 Lab,,T,1:00 - 2:50,OU 133
IT 168,3 Lab,,T,3:00 - 4:50,OU 133
IT 168,4,"Matsuda, Pat",MW,5:00 - 6:15,STV 105
IT 168,5 Lab,,T,7:00 - 8:50,OU 133
IT 168,6 Lab,,W,3:00 - 4:50,OU 133
IT 168,7,"Matsuda, Pat",TR,9:35 - 10:50,STV 105
IT 168,8 Lab,,W,9:00 - 10:50,OU 133
IT 168,9 Lab,,W,11:00 - 12:50,OU 133
IT 168,10,"Suh, Kyoungwon",TR,11:00 - 12:15,STV 105
IT 168,11 Lab,,W,1:00 - 2:50,OU 133
IT 168,12 Lab,,R,9:00 - 10:50,OU 133
IT 178,1,"Sikolia, David",MW,2:00 - 3:15,OU 213E
IT 178,2,"Sikolia, David",MW,6:30 - 7:45,OU 213E
IT 178,3,"Holbrook, Cathy",TR,11:00 - 12:15,OU 213D
IT 179,1,"Li, Chung-Chih",MW,9:35 - 10:50,STV 139A
IT 179,2,"Li, Chung-Chih",MW,11:00 - 12:15,STV 139A
IT 179,3,"Li, Chung-Chih",TR,2:00 - 3:15,STV 139A
IT 191,1,"Parmenter, Tal",T,5:00 - 5:50,STV 101
IT 214,1,"Jerome, Sherry",MW,2:00 - 3:15,WIH 123
IT 225,1,"Thomas, Todd",TR,12:35 - 1:50,STV 108
IT 226,1,"Shesh, Amit",MW,11:00 - 12:15,STV 105
IT 254,1,"Mahatanankoon, Winn",TR,2:00 - 3:15,STV 105
IT 254,2,"Plumadore, Dean",TR,6:30 - 7:45,STV 108
IT 261,1,"Mahatanankoon, Winn",TR,9:35 - 10:50,STV 108
IT 261,2,"Mahatanankoon, Winn",TR,11:00 - 12:15,STV 108
IT 261,3,"Javadi, Elahe",TR,5:00 - 6:15,STV 108
IT 262,1,"Javadi, Elahe",MW,2:00 - 3:15,STV 108
IT 262,2,"Javadi, Elahe",MW,5:00 - 6:15,STV 108
IT 272,1,"Wallace, Dave",MW,1:00 - 2:50,OU 213D
IT 275,1,"Plickebaum, Terry",MW,6:30 - 8:20,STV 108
IT 279,1,"Shesh, Amit",TR,11:00 - 12:15,STV 139A
IT 287,1,,,,
IT 291,1,,,,
IT 299,1,,,,
IT 328,1,"Li, Chung-Chih",MW,2:00 - 3:15,STV 104
IT 328.05,1 Grad,"Li, Chung-Chih",MW,2:00 - 3:15,STV 104
IT 330,1 Grad,,MW,6:30 - 7:45,STV 104
IT 330.05,1 Grad,,MW,6:30 - 7:45,STV 104
